plane,u,v,itype,typecode,x0,y0,irot,nvertices,vx_0,vy_0,vx_1,vy_1,vx_2,vy_2,vx_3,vy_3,vx_4,vy_4,vx_5,vy_5,vx_6,vy_6,icassette,trigRate,trigLinks,dataRate_ld,dataLinks_ld,dataRate_hd,dataLinks_hd,MB,wagon,isSiPM,isEngine,nROCs,power,mrot,phi,HDorLD,hash,hash_hdld,engine_trig_fibres,engine_data_fibres,engine_ctrl_fibres,dataPp0,trigPp0,dataPp0_type,trigPp0_type,dataPp1,trigPp1,dataPp1_type,trigPp1_type,dataPp2,DAQ,rho,isHalfHDE,Local,Local_LDE,Local_HDE,Local_LDP,Remote,Remote_LR,Remote_HDEs_T,Remote_HDEs_B,Remote_HDEd,Remote_LDPs_T,Remote_LDPs_B,Remote_LDPd,Remote_HDPs_T,Remote_HDPs_B,Remote_HDPd,Local_ispowering,Local_LDE_ispowering,Local_HDE_ispowering,Local_LDP_ispowering,Remote_ispowering,Remote_LR_ispowering,Remote_HDEs_T_ispowering,Remote_HDEs_B_ispowering,Remote_HDEd_ispowering,Remote_LDPs_T_ispowering,Remote_LDPs_B_ispowering,Remote_LDPd_ispowering,Remote_HDPs_T_ispowering,Remote_HDPs_B_ispowering,Remote_HDPd_ispowering,LD_Hexaboard_ispowered,LD_Hexaboard_ispowered_by,LDE_ispowered,LDE_ispowered_by,HDE_ispowered,HDE_ispowered_by,HD_Hexaboard_ispowered,HD_Hexaboard_ispowered_by,LDP_Hexaboard_ispowered,LDP_Hexaboard_ispowered_by,HDP_Hexaboard_ispowered,HDP_Hexaboard_ispowered_by,PCB_Local,PCB_Remote,Busbar_10V,Busbar_10V_D,Busbar_1V5_1,Busbar_1V5_2,Busbar_1V5_3,Busbar_HD_DB,Power_Total,LV_Group
1,2,0,gIe,MH-B1W,339.38,2.37,3,6,339.4,99.2,320.4,88.2,320.4,-83.5,339.4,-94.4,423.2,-46.0,423.2,50.8,339.4,99.2,1,6.631,7,3.184,4,3.184,4,0,0,0,False,6,7.2,0,0.4,1,102000,102001,3,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_2,A,A,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,339.3882751363105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;6;0,,,,,,,,BB1V5-3H2L-FE-HB,8.561568130544046,1.0
1,2,1,dIeL,MH-L1W,255.56,147.55,5,5,255.6,244.3,236.6,233.4,320.4,88.2,339.4,99.2,339.4,195.9,255.6,244.3,0.0,0.0,1,4.57,5,1.757,2,1.757,2,1,0,0,False,3,3.6,0,30.0,1,102010,102011,4,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_3,A,B,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_3,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,295.09645219826007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;1,,,,,,,,,5.0590912928607095,2.0
1,3,0,FI,MH-F2W,507.02,2.37,3,6,507.0,-94.4,590.8,-46.0,590.8,50.7,507.0,99.2,423.2,50.7,423.2,-46.0,507.0,-94.4,1,5.997,7,2.442,3,2.764,3,0,0,0,False,6,7.2,0,0.268,1,103000,103001,3,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_2,A,A,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,507.0255391003494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;0,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2H3L-FE-F,14.97367738256629,1.0
1,3,1,FI,MH-F2W,423.2,147.55,3,6,423.2,50.7,507.0,99.2,507.0,195.9,423.2,244.4,339.4,195.9,339.4,99.2,423.2,50.7,1,7.039,8,2.84,3,3.391,4,1,0,0,False,6,7.2,0,19.221,1,103010,103011,4,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_3,A,B,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_3,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,448.1843844892412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;1,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-3H2L-FE-FS,16.037695521032784,2.0
1,3,2,FI,MH-F2W,339.38,292.73,4,6,339.4,195.9,423.2,244.4,423.2,341.2,339.4,389.5,255.6,341.2,255.6,244.4,339.4,195.9,1,7.044,8,2.841,3,3.392,4,2,0,0,False,6,7.2,0,40.779,1,103020,103021,3,2,2,PP0(CE-)L1/C01_FO_1_3,PP0(CE-)L1/C01_FO_2_2,C,A,PP1(CE-)5_FO_1_3,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_8,DAQ_1_5,448.18482493275025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;6;5,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-3H1L-FE-F,16.03676230930614,6.0
1,4,0,FI,MH-F2W,674.66,2.37,3,6,674.7,-94.4,758.5,-46.0,758.5,50.7,674.7,99.2,590.8,50.7,590.8,-46.0,674.7,-94.4,1,4.185,5,1.738,2,1.808,2,0,0,0,True,6,7.2,0,0.201,1,104000,104001,3,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_2,A,A,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,674.6641627506236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;5;0,True,1;8;0,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H4L-FE-F,19.603382012568446,1.0
1,4,1,FI,MH-F2W,590.84,147.55,3,6,590.8,50.7,674.7,99.2,674.7,195.9,590.8,244.4,507.0,195.9,507.0,99.2,590.8,50.7,1,4.835,5,1.971,3,2.086,3,1,0,0,False,6,7.2,0,14.022,1,104010,104011,4,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_3,A,B,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_3,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,608.9851460421675,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;8;1,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2H3L-FE-F,13.369009054550634,2.0
1,4,2,FI,MH-F2W,507.02,292.73,3,6,507.0,195.9,590.8,244.4,590.8,341.2,507.0,389.5,423.2,341.2,423.2,244.4,507.0,195.9,1,5.07,6,2.068,3,2.21,3,3,0,0,False,6,7.2,0,30.0,1,104020,104021,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,585.4572002290175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;8;2,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2H3L-FE-F,13.709740876711724,3.0
1,4,3,FI,MH-F2W,423.2,437.9,4,6,423.2,341.2,507.0,389.5,507.0,486.3,423.2,534.7,339.4,486.3,339.4,389.5,423.2,341.2,1,4.799,5,1.971,3,2.087,3,2,0,0,False,6,7.2,0,45.978,1,104030,104031,3,2,2,PP0(CE-)L1/C01_FO_1_3,PP0(CE-)L1/C01_FO_2_2,C,A,PP1(CE-)5_FO_1_3,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_8,DAQ_1_5,608.9783657897873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;6,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2H2L-FE-F,13.367658492245708,6.0
1,5,0,FM,ML-F3W,842.3,2.37,0,6,842.3,-94.4,926.1,-46.0,926.1,50.7,842.3,99.2,758.5,50.7,758.5,-46.0,842.3,-94.4,1,3.172,4,1.109,2,1.086,2,9,0,0,False,3,3.6,0,0.161,0,105000,105000,2,1,1,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_2,A,A,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,842.3033342567272,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;5;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,DC-RST,,,BB1V5-1H4L-FE-F,BB1V5-2H3L-FE-F,BB1V5-3H2L-FE-HB,,10.830335011171293,1.0
1,5,1,FI,MH-F2W,758.48,147.55,3,6,758.5,50.7,842.3,99.2,842.3,195.9,758.5,244.4,674.7,195.9,674.7,99.2,758.5,50.7,1,3.425,4,1.484,2,1.512,2,1,0,0,True,6,7.2,0,11.008,1,105010,105011,4,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_3,A,B,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_3,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,772.698461820651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;9;1,True,1;6;1,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H1L-FE-F,17.71724566013505,2.0
1,5,2,FI,MH-F2W,674.66,292.73,3,6,674.7,195.9,758.5,244.4,758.5,341.2,674.7,389.5,590.8,341.2,590.8,244.4,674.7,195.9,1,3.693,4,1.568,2,1.607,2,3,0,0,True,6,7.2,0,23.456,1,105020,105021,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,735.4297848877212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;6;2,True,1;9;2,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H4L-FE-F,18.99397823081418,3.0
1,5,3,FI,MH-F2W,590.84,437.9,3,6,590.8,341.2,674.7,389.5,674.7,486.3,590.8,534.7,507.0,486.3,507.0,389.5,590.8,341.2,1,3.661,4,1.568,2,1.605,2,3,0,0,False,6,7.2,0,36.544,1,105030,105031,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,735.4239019776282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;2,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2tH2L-FE-F,11.904780091808535,3.0
